aos_code,aos_title,aos_type,study_level,year,group,group_cp_req,unit_code,unit_cp
3DMODANI03,3D modelling and animation,Minor,Undergraduate,2026,Core units,24,FIT1033,6
3DMODANI03,3D modelling and animation,Minor,Undergraduate,2026,Core units,24,FIT3187,6
3DMODANI03,3D modelling and animation,Minor,Undergraduate,2026,Core units,24,FIT2098,6
3DMODANI03,3D modelling and animation,Minor,Undergraduate,2026,Core units,24,FIT2169,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Level 3 elective unit,6,FIT3080,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Level 3 elective unit,6,MTH3170,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Level 3 elective unit,6,FIT3159,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Level 3 elective unit,6,FIT3146,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Level 3 elective unit,6,MTH3175,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Level 3 elective unit,6,FIT3196,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Level 3 elective unit,6,FIT3182,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Level 3 elective unit,6,FIT3139,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Core units,36,FIT3143,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Core units,36,FIT2109,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Core units,36,FIT2102,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Core units,36,FIT3155,6
ALGSFTWR01,Algorithms and software,Specialisation,Undergraduate,2026,Core units,36,FIT2099,6
APCYBSEC01,Applied cybersecurity,Major,Undergraduate,2026,Core units,48,FIT2165,6
APCYBSEC01,Applied cybersecurity,Major,Undergraduate,2026,Core units,48,FIT3031,6
APCYBSEC01,Applied cybersecurity,Major,Undergraduate,2026,Core units,48,FIT3168,6
APCYBSEC01,Applied cybersecurity,Major,Undergraduate,2026,Core units,48,FIT3186,6
APCYBSEC01,Applied cybersecurity,Major,Undergraduate,2026,Core units,48,FIT2173,6
APCYBSEC01,Applied cybersecurity,Major,Undergraduate,2026,Core units,48,FIT2100,6
APCYBSEC01,Applied cybersecurity,Major,Undergraduate,2026,Core units,48,FIT1057,6
APCYBSEC01,Applied cybersecurity,Major,Undergraduate,2026,Core units,48,FIT1093,6
ATINTELL02,Artificial intelligence,Specialisation,Undergraduate,2026,Core units,30,FIT2111,6
ATINTELL02,Artificial intelligence,Specialisation,Undergraduate,2026,Core units,30,FIT1061,6
ATINTELL02,Artificial intelligence,Specialisation,Undergraduate,2026,Core units,30,FIT2112,6
ATINTELL02,Artificial intelligence,Specialisation,Undergraduate,2026,Core units,30,FIT3203,6
ATINTELL02,Artificial intelligence,Specialisation,Undergraduate,2026,Core units,30,FIT3191,6
ATINTELL02,Artificial intelligence,Specialisation,Undergraduate,2026,Elective units,6,FIT3192,6
ATINTELL02,Artificial intelligence,Specialisation,Undergraduate,2026,Elective units,6,FIT3183,6
COMPUTSC02,Computer science,Minor,Undergraduate,2026,Additional Computer science unit,6,FIT2014,6
COMPUTSC02,Computer science,Minor,Undergraduate,2026,Additional Computer science unit,6,FIT3155,6
COMPUTSC02,Computer science,Minor,Undergraduate,2026,Core units,18,FIT1045,6
COMPUTSC02,Computer science,Minor,Undergraduate,2026,Core units,18,FIT2004,6
COMPUTSC02,Computer science,Minor,Undergraduate,2026,Core units,18,FIT1008,6
CSCYBSEC01,Cybersecurity,Specialisation,Undergraduate,2026,Core units,30,FIT3186,6
CSCYBSEC01,Cybersecurity,Specialisation,Undergraduate,2026,Core units,30,FIT2173,6
CSCYBSEC01,Cybersecurity,Specialisation,Undergraduate,2026,Core units,30,FIT3185,6
CSCYBSEC01,Cybersecurity,Specialisation,Undergraduate,2026,Core units,30,FIT1093,6
CSCYBSEC01,Cybersecurity,Specialisation,Undergraduate,2026,Core units,30,FIT1057,6
CSCYBSEC01,Cybersecurity,Specialisation,Undergraduate,2026,Level 3 elective units,6,FIT3031,6
CSCYBSEC01,Cybersecurity,Specialisation,Undergraduate,2026,Level 3 elective units,6,FIT3168,6
CYBERSEC05,Cybersecurity,Minor,Undergraduate,2026,Elective unit,6,FIT3168,6
CYBERSEC05,Cybersecurity,Minor,Undergraduate,2026,Elective unit,6,FIT3186,6
CYBERSEC05,Cybersecurity,Minor,Undergraduate,2026,Elective unit,6,FIT3031,6
CYBERSEC05,Cybersecurity,Minor,Undergraduate,2026,Core units,18,FIT1057,6
CYBERSEC05,Cybersecurity,Minor,Undergraduate,2026,Core units,18,FIT1093,6
CYBERSEC05,Cybersecurity,Minor,Undergraduate,2026,Core units,18,FIT2173,6
DATASCI04,Data science,Minor,Undergraduate,2026,Core units,24,FIT1043,6
DATASCI04,Data science,Minor,Undergraduate,2026,Core units,24,FIT3152,6
DATASCI04,Data science,Minor,Undergraduate,2026,Core units,24,FIT2086,6
DATASCI04,Data science,Minor,Undergraduate,2026,Core units,24,FIT2179,6
DATASCI11,Data science,Specialisation,Undergraduate,2026,Core units,24,FIT2179,6
DATASCI11,Data science,Specialisation,Undergraduate,2026,Core units,24,FIT1043,6
DATASCI11,Data science,Specialisation,Undergraduate,2026,Core units,24,FIT2086,6
DATASCI11,Data science,Specialisation,Undergraduate,2026,Core units,24,FIT3152,6
DATASCI11,Data science,Specialisation,Undergraduate,2026,Level 3 elective units,12,FIT3183,6
DATASCI11,Data science,Specialisation,Undergraduate,2026,Level 3 elective units,12,FIT3154,6
DATASCI11,Data science,Specialisation,Undergraduate,2026,Level 3 elective units,12,FIT3003,6
DATASCI11,Data science,Specialisation,Undergraduate,2026,Level 3 elective units,12,FIT3182,6
DATASCI11,Data science,Specialisation,Undergraduate,2026,Level 3 elective units,12,FIT3181,6
GAMEIMMD01,Games and immersive media,Major,Undergraduate,2026,Level 2 unit,6,FIT2096,6
GAMEIMMD01,Games and immersive media,Major,Undergraduate,2026,Level 2 unit,6,FIT2169,6
GAMEIMMD01,Games and immersive media,Major,Undergraduate,2026,Level 3 units,18,FIT3187,6
GAMEIMMD01,Games and immersive media,Major,Undergraduate,2026,Level 3 units,18,FIT3097,6
GAMEIMMD01,Games and immersive media,Major,Undergraduate,2026,Level 3 units,18,FIT3172,6
GAMEIMMD01,Games and immersive media,Major,Undergraduate,2026,Level 1 and 2 units,24,FIT1033,6
GAMEIMMD01,Games and immersive media,Major,Undergraduate,2026,Level 1 and 2 units,24,FIT2145,6
GAMEIMMD01,Games and immersive media,Major,Undergraduate,2026,Level 1 and 2 units,24,FIT1073,6
GAMEIMMD01,Games and immersive media,Major,Undergraduate,2026,Level 1 and 2 units,24,FIT2098,6
GAMESDES03,Games design,Minor,Undergraduate,2026,Core units,24,FIT1073,6
GAMESDES03,Games design,Minor,Undergraduate,2026,Core units,24,FIT3172,6
GAMESDES03,Games design,Minor,Undergraduate,2026,Core units,24,FIT1033,6
GAMESDES03,Games design,Minor,Undergraduate,2026,Core units,24,FIT2169,6
GAMESDEV03,Games development,Minor,Undergraduate,2026,Core units ,24,FIT3097,6
GAMESDEV03,Games development,Minor,Undergraduate,2026,Core units ,24,FIT2096,6
GAMESDEV03,Games development,Minor,Undergraduate,2026,Core units ,24,FIT1073,6
GAMESDEV03,Games development,Minor,Undergraduate,2026,Core units ,24,FIT2145,6
HMNCMPIN02,Human computer interaction,Minor,Undergraduate,2026,Core units,24,FIT1110,6
HMNCMPIN02,Human computer interaction,Minor,Undergraduate,2026,Core units,24,FIT3146,6
HMNCMPIN02,Human computer interaction,Minor,Undergraduate,2026,Core units,24,FIT1060,6
HMNCMPIN02,Human computer interaction,Minor,Undergraduate,2026,Core units,24,FIT2175,6
ITBIS06,Business information systems,Major,Undergraduate,2026,Core units,48,FIT2175,6
ITBIS06,Business information systems,Major,Undergraduate,2026,Core units,48,FIT1006,6
ITBIS06,Business information systems,Major,Undergraduate,2026,Core units,48,FIT3174,6
ITBIS06,Business information systems,Major,Undergraduate,2026,Core units,48,FIT2114,6
ITBIS06,Business information systems,Major,Undergraduate,2026,Core units,48,FIT3158,6
ITBIS06,Business information systems,Major,Undergraduate,2026,Core units,48,FIT2090,6
