unit_code,title,year,credit_points,faculty,subclass,school,campuses,teaching_periods,prerequisites,corequisites,prohibitions,synopsis
ENG0001,Engineering continuous professional development,2026,0,ENG,Unit,Faculty of Engineering,Clayton,Second semester; First semester,,FIT4701;ENG4701;FIT4042;FIT4002;CHE4164,,"Continuous professional development (CPD) is a compulsory requirement for all engineering students. It is part of meeting the Engineers Australia competency standards to be a Professional Engineer.
You are required to complete a minimum of 420 hours of professional and engineering-related experiences outside the classroom throughout your study. Your total hours can be made up of a combination of work, volunteer, personal and professional development activities and events. These experiences will allow you to integrate what you are learning in the classroom with real-world practice.
There are two submissions required to complete your CPD. You will complete a written record and skill reflections on your experiences and complete a series of assessment questions in Moodle.
It is your responsibility to find opportunities and participate in experiences, which will help you develop your job searching and organisational skills. Monash will support you to complete your CPD by sending regular communications about opportunities and providing workshops and resources.
See the CPD website for detailed information about the requirements."
ENG0002,Industrial training,2026,0,ENG,Unit,Faculty of Engineering,Malaysia,Second semester; Summer semester A,,,,"In the internship, you acquire experience by working in a professional environment in engineering industries over 12 weeks. The internship includes considerations of engineering health and safety, teamwork, communication and life-long learning in the workplace and the development of a workplace written report.
See Professional experience website for detailed information about the requirements."
ENG0003,Professional engineering continuous professional development,2026,0,ENG,Unit,Faculty of Engineering,Clayton,Second semester; First semester,,,,"Continuous professional development (CPD) is a compulsory requirement for all Master of Professional Engineering students. It is part of meeting the Engineers Australia competency standards to be a Professional Engineer.
You are required to complete a minimum of 420 hours of professional and engineering-related experiences outside the classroom throughout your study. Your total hours can be made up of a combination of work, volunteer, personal and professional development activities and events. These experiences will allow you to integrate what you are learning in the classroom with real-world practice.
There are two submissions required to complete your CPD. You will complete a written record and skill reflections on your experiences and complete a series of assessment questions in Moodle.
It is your responsibility to find opportunities and participate in experiences, which will help you develop your job searching and organisational skills. Monash will support you to complete your CPD by sending regular communications about opportunities and providing workshops and resources.
See the CPD website for detailed information about the requirements."
ENG1005,Engineering mathematics,2026,6,ENG,Unit,Faculty of Engineering,Clayton; Malaysia,"First semester; Second semester; October intake teaching period, Malaysia campus",,,,"This unit introduces foundational mathematical concepts required for all disciplines of engineering and assumes that you have prerequisite knowledge equivalent to Victorian Certificate of Education (VCE) Specialist Mathematics or ENG1090 Foundation Mathematics.
Major concepts taught using engineering contexts include linear algebra, calculus and ordinary differential equations. Specific topics include vector algebra, linear systems of equations, matrix algebra, eigenvalues and eigenvectors, sequences and series in single and higher dimensions, multivariate functions, critical points and first and second order linear ordinary differential equations."
ENG1011,Engineering methods,2026,6,ENG,Unit,Faculty of Engineering,Clayton; Malaysia,"First semester; Second semester; October intake teaching period, Malaysia campus",,,,"This unit develops methods for analysing complex problems. The basics of statics and material properties are introduced and used to analyse structures such as beams, cantilevers and truss sections. This knowledge is used to design, analyse, build and test a structural component. Simplifications are implicit in the methods used in this analysis. These simplifications will be examined carefully and scrutinised in a broader cross-disciplinary context through problems related to the system being designed. The methods considered will include: the use of simplifications, assumptions, constraints, boundary conditions and levels of required precision.
The outcome of the structural analysis and testing will be compared and the suitability of the simplifications used will be scrutinised. You will gain knowledge about the methods engineers use to address complex problems across disciplines. Alongside this engineering thinking, you will also gain insight into the role of different specialisations of engineering in society. Communication and teamwork skills will be developed through teamwork tasks."
ENG1012,Engineering design,2026,6,ENG,Unit,Faculty of Engineering,Clayton; Malaysia,First semester; Second semester,,,,"This unit covers the engineering design process, which is a method used by engineers from all disciplines to determine a solution to a problem or address a need. You will use design thinking models to define the problem, create innovative conceptual designs, prototype possible design solutions, refine several designs to a single final design, and determine the specifications of the final design. In order to simulate a real-world experience, you are required to determine the role of the stakeholders in the project, and consider the economic, environmental, Indigenous, social and ethical aspects of your proposal.
You will be working in a team throughout the semester to gain the communication skills which are highly desired by industries. You will be required to reflect on your work to help improve your interpersonal and teamwork skills contributing to your personal growth. You will also consider the value of engineering ethics and the Code of Ethics whilst learning the engineering design process. Engineers need to submit proposals and pitch their ideas to stakeholders within communities and their team members. They will give presentations to their peers, to their project managers, and to possible stakeholders to develop these presentation skills.
On completion of this unit, you should be able to participate in multidisciplinary conversations about the engineering design process."
ENG1013,Engineering smart systems,2026,6,ENG,Unit,Faculty of Engineering,Malaysia; Clayton,"October intake teaching period, Malaysia campus; Second semester; First semester",,,,"&quot;Smart&quot; systems are critical to the future of engineering. This unit will introduce the fundamentals required for these systems from the perspective of software, electrical, electronic and mechatronics engineering. Theory underpinning systems approach, analogue and digital circuit design and Python programming will be presented.
The fundamental stages in the software and hardware development life cycle will be introduced, including requirements analysis, functional analysis, design integration and verification.
Concepts such as Boolean Logic, Ohms and Kirchhoffs Laws, Nodal Analysis and Thevenin Equivalence will also be introduced. These will be used to analyse and design solutions that contain electrical components including capacitors, semiconductor devices such as diodes, transistors and basic microcontrollers.
The contribution of each topic to a contemporary engineering application will be demonstrated. These concepts will be practised through hands-on projects carried out in teams. Communication and teamwork skills will be developed through team-based tasks."
ENG1014,Engineering numerical analysis,2026,6,ENG,Unit,Faculty of Engineering,Malaysia; Clayton,First semester; Second semester; Summer semester A,,,,"This unit introduces engineering computing fundamentals in the contexts of data analysis and modelling of physical systems. The Python programming language will be introduced, including techniques for importing/exporting data and communicating results from computational analysis. Programming structures such as loops, conditional statements and functions will be introduced.
You will use programming to examine a range of complex engineering systems, including performing basic analysis on large data sets and modelling systems that do not exhibit analytical solutions. Problems related to these systems will be solved using various numerical methods for linear regression, root-fiding, numerical integration and numerical solutions to ordinary differential equations. The underlying assumptions, complexities and uncertainties associated with the models and numerical methods will be emphasised."
ENG1021,Spatial communication in engineering,2026,6,ENG,Unit,Faculty of Engineering,Malaysia; Clayton,Second semester,,,,"This unit introduces the fundamentals of spatial communication in engineering. This project-oriented unit includes an introduction to engineering drawing, spatial measurement, and spatial visualisation. You will work with various spatial visualisation tools. Starting from hand sketching, you will learn how to produce engineering drawings, collect spatial data, and develop spatial visualisations."
ENG1051,Materials for energy and sustainability,2026,6,ENG,Unit,Faculty of Engineering,Clayton,First semester,,,,"The key engineering challenge in the 21st century and beyond is the efficient use of energy and the Earth's resources. Energy supply drives our daily life, and there exist challenges in all of clean energy, renewable energy, energy transmission, energy storage, light materials, and energy-efficient manufacturing. In addition, the physical infrastructure on which our daily lives depend requires the sustainable use of the finite resources at our disposal. All of these issues are Materials Engineering issues.
In this unit, the fundamentals of the structure, design, and application of materials are covered. Attributes such as modulus, strength, toughness, chemical stability, electrical, magnetic, and thermal properties are explained in terms of atomic bonding, crystal defects and polycrystalline microstructure - and how this relates to end users.
A particular focus will be given to &quot;processing-structure-property&quot; relationships, which is at the core of Materials Engineering, with the subjects' concepts elaborated in the context of materials for the efficient use of energy and other resources. Examples will include aerospace materials and functional materials, amongst others."
